지역,발생일시,복구일시,정전가구
충청북도 음성군,2021.07.28 14:20 , 2021.07.28 09:25,20000
충청북도 음성군,2021.07.27 14:15 , 2021.07.27 09:59,0
충청남도 논산시,2021.07.22 15:06 , 2021.07.22 15:04,2000
충청남도 논산시,2021.07.22 14:50 , 2021.07.22 14:55,2000
부산광역시 남구,2021.07.22 14:36 , 2021.07.22 10:36,1000
충청남도 아산시,2021.07.22 14:35 , 2021.07.22 14:34,2000
충청남도 예산군,2021.07.22 14:35 , 2021.07.22 14:34,2000
충청남도 서천군,2021.07.22 14:35 , 2021.07.22 14:33,2000
대전광역시 유성구,2021.07.22 14:35 , 2021.07.22 14:34,2000
충청남도 공주시,2021.07.22 14:35 , 2021.07.22 14:32,2000
충청남도 보령시,2021.07.22 14:35 , 2021.07.22 14:34,2000
대전광역시 대덕구,2021.07.22 14:34 , 2021.07.22 14:40,2000
충청남도 서산시,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 부여군,2021.07.22 14:34 , 2021.07.22 14:34,2000
세종특별자치시 세종시,2021.07.22 14:34 , 2021.07.22 14:33,2000
세종특별자치시 세종시,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 당진시,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 청양군,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 서산시,2021.07.22 14:34 , 2021.07.22 14:33,2000
대전광역시 서구,2021.07.22 14:34 , 2021.07.22 14:34,2000
대전광역시 동구,2021.07.22 14:34 , 2021.07.22 14:36,2000
대전광역시 동구,2021.07.22 14:34 , 2021.07.22 14:33,2000
충청남도 청양군,2021.07.22 14:34 , 2021.07.22 14:32,2000
충청남도 홍성군,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 태안군,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 금산군,2021.07.22 14:34 , 2021.07.22 14:34,2000
충청남도 천안시 서북구,2021.07.22 14:34 , 2021.07.22 14:34,2000
